SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2023-2024,48,TEXAS,TX,ANDERSON H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901009,480894000292,4800292,8403 MESA DR,,,AUSTIN,TX,78759,8199,8403 MESA DR,,,AUSTIN,TX,78759,8199,(512)414-2538,http://www.austinisd.org/schools/anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,AUSTIN H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901002,480894000294,4800294,1715 W CESAR CHAVEZ,,,AUSTIN,TX,78703,4699,1715 W CESAR CHAVEZ,,,AUSTIN,TX,78703,4699,(512)414-2505,http://www.austinisd.org/schools/austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,CROCKETT ECHS,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901008,480894000310,4800310,5601 MANCHACA RD,,,AUSTIN,TX,78745,3696,5601 MANCHACA RD,,,AUSTIN,TX,78745,3696,(512)414-2532,http://www.austinisd.org/schools/crockett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,NAVARRO EARLY COLLEGE H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901004,480894000327,4800327,1201 PEYTON GIN RD,,,AUSTIN,TX,78758,6699,1201 PEYTON GIN RD,,,AUSTIN,TX,78758,6699,(512)414-2514,http://www.austinisd.org/schools/navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,MCCALLUM H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901005,480894000333,4800333,5600 SUNSHINE DR,,,AUSTIN,TX,78756,1598,5600 SUNSHINE DR,,,AUSTIN,TX,78756,1598,(512)414-2519,http://www.austinisd.org/schools/mccallum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,NORTHEAST EARLY COLLEGE H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901006,480894000350,4800350,7104 BERKMAN DR,,,AUSTIN,TX,78752,3499,7104 BERKMAN DR,,,AUSTIN,TX,78752,3499,(512)414-2523,http://www.austinisd.org/schools/northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,TRAVIS EARLY COLLEGE H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901007,480894000360,4800360,1211 E OLTORF ST,,,AUSTIN,TX,78704,5799,1211 E OLTORF ST,,,AUSTIN,TX,78704,5799,(512)414-2527,http://www.austinisd.org/schools/travis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,BOWIE H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901013,480894006508,4806508,4103 SLAUGHTER LN,,,AUSTIN,TX,78749,6914,4103 SLAUGHTER LN,,,AUSTIN,TX,78749,6914,(512)414-5247,http://www.austinisd.org/schools/bowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,GARZA INDEPENDENCE H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901015,480894008060,4808060,1600 CHICON,,,AUSTIN,TX,78702,1230,1600 CHICON,,,AUSTIN,TX,78702,1230,(512)414-8600,http://www.austinisd.org/schools/garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,48,TEXAS,TX,AKINS H S,AUSTIN ISD,1,,TX-227901,4808940,TX-227901-227901017,480894008937,4808937,10701 S 1ST ST,,,AUSTIN,TX,78748,,10701 S 1ST ST,,,AUSTIN,TX,78748,,(512)841-9900,http://www.austinisd.org/schools/akins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
