SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2023-2024,48,TEXAS,TX,ANDERSON H S,1,,TX-227901,4808940,TX-227901-227901009,480894000292,4800292,123.33,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,AUSTIN H S,1,,TX-227901,4808940,TX-227901-227901002,480894000294,4800294,126.63,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,CROCKETT ECHS,1,,TX-227901,4808940,TX-227901-227901008,480894000310,4800310,98.29,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,NAVARRO EARLY COLLEGE H S,1,,TX-227901,4808940,TX-227901-227901004,480894000327,4800327,109.13,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,MCCALLUM H S,1,,TX-227901,4808940,TX-227901-227901005,480894000333,4800333,102.7,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,NORTHEAST EARLY COLLEGE H S,1,,TX-227901,4808940,TX-227901-227901006,480894000350,4800350,66.53,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,TRAVIS EARLY COLLEGE H S,1,,TX-227901,4808940,TX-227901-227901007,480894000360,4800360,76.76,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,BOWIE H S,1,,TX-227901,4808940,TX-227901-227901013,480894006508,4806508,154.93,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,GARZA INDEPENDENCE H S,1,,TX-227901,4808940,TX-227901-227901015,480894008060,4808060,25.47,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,AKINS H S,1,,TX-227901,4808940,TX-227901-227901017,480894008937,4808937,159.71,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,LBJ ECHS,1,,TX-227901,4808940,TX-227901-227901014,480894011844,4811844,51.39,Education Unit Total,Reported
2023-2024,48,TEXAS,TX,LASA H S,1,,TX-227901,4808940,TX-227901-227901018,480894011930,4811930,82.7,Education Unit Total,Reported
